,running_saber11,running_sisben,spadies_any,tr
801,122,,1,1
802,40,-17.389998474121093,0,0
803,22,,1,1
804,-15,36.62999946594238,1,0
805,32,-5.330001525878906,1,0
806,53,,1,1
807,44,,0,1
808,74,-7.309996643066405,1,0
809,-60,,0,0
810,39,,1,1
811,34,22.720001525878907,1,1
812,83,-2.510001831054687,1,0
813,32,,0,1
814,13,,0,1
815,71,,1,1
816,25,28.360000915527344,1,1
817,-15,-21.800002136230468,0,0
818,32,,0,1
819,24,,1,1
820,79,,1,1
821,-13,28.32,0,0
822,60,,1,1
823,83,,1,1
824,60,28.919999084472657,1,1
825,6,,0,1
826,52,8.97999984741211,1,1
827,13,,0,1
828,97,,1,1
829,39,-9.609999694824218,0,0
830,69,-19.459998779296875,1,0
831,71,,1,1
832,32,,1,1
833,21,30.089999160766602,1,1
834,-22,5.07,0,0
835,83,-9.459998168945312,1,0
836,107,,1,1
837,65,-7.039999999999999,1,0
838,85,-10.540000610351562,1,0
839,62,,1,1
840,25,,1,1
841,37,-3.830000915527343,1,0
842,65,,1,1
843,6,-9.330000915527343,1,0
844,64,,0,1
845,96,-16.34000305175781,1,0
846,88,,1,1
847,40,-0.13000015258788977,1,0
848,63,,1,1
849,35,,0,1
850,48,,0,1
851,27,6.590001068115235,0,1
852,114,,1,1
853,-15,,1,0
854,101,28.3300008392334,1,1
855,5,-1.9700009155273435,1,0
856,51,,0,1
857,78,,1,1
858,28,18.27999969482422,1,1
859,13,,0,1
860,54,,1,1
861,-7,,0,0
862,86,,1,1
863,27,27.79999954223633,1,1
864,42,-5.039999999999999,0,0
865,83,,1,1
866,25,-3.1900015258789054,1,0
867,42,43.06000038146973,1,1
868,46,12.89,1,1
869,14,,0,1
870,49,,0,1
871,100,,1,1
872,-6,37.89000030517578,0,0
873,8,32.370000000000005,1,1
874,75,11.950001678466798,1,1
875,-36,19.900001831054688,0,0
876,86,,1,1
877,73,,1,1
878,52,30.61,1,1
879,54,,1,1
880,14,,0,1
881,99,,1,1
882,20,,0,1
883,14,,0,1
884,12,,1,1
885,1,,0,1
886,47,-0.9999990844726554,0,0
887,97,-5.620001831054687,1,0
888,-15,-5.7499996948242185,1,0
889,38,,0,1
890,-7,-2.819998779296874,1,0
891,103,,1,1
892,21,-10.020003356933593,0,0
893,39,-19.889999084472656,1,0
894,51,,1,1
895,3,,0,1
896,102,,1,1
897,55,-5.249999084472655,0,0
898,75,,0,1
899,40,,0,1
900,13,,0,1
901,23,-22.029998474121093,1,0
902,65,-0.6399984741210929,1,0
903,75,,0,1
904,79,,1,1
905,68,,1,1
906,-27,,0,0
907,106,,1,1
908,45,,1,1
909,95,24.890000305175782,1,1
910,25,,1,1
911,-42,11.209999389648438,1,0
912,4,-21.449996643066406,0,0
913,37,,1,1
914,43,,0,1
915,53,,1,1
916,9,-0.08999923706054602,0,0
917,10,-3.2499990844726554,0,0
918,17,23.71,0,1
919,32,,0,1
920,14,,0,1
921,55,-20.440001525878905,1,0
922,7,-20.109999694824218,0,0
923,50,,1,1
924,35,,0,1
925,68,-12.129996337890624,0,0
926,14,-2.9200016784667966,1,0
927,-1,,0,0
928,17,8.340001068115235,0,1
929,97,,0,1
930,38,-2.039999999999999,0,0
931,63,,1,1
932,-2,-14.23999755859375,1,0
933,44,,1,1
934,-1,-9.020000457763672,0,0
935,79,,1,1
936,12,,1,1
937,142,,1,1
938,-3,27.369999237060547,1,0
939,14,-19.830001525878906,0,0
940,51,,0,1
941,76,,1,1
942,55,,1,1
943,35,,1,1
944,103,38.230000000000004,1,1
945,73,,1,1
946,20,29.57,1,1
947,48,,1,1
948,15,,1,1
949,45,,1,1
950,47,,1,1
951,96,,1,1
952,-11,,0,0
953,42,-8.34999755859375,1,0
954,14,-3.8500013732910148,1,0
955,-1,,0,0
956,20,,0,1
957,28,,0,1
958,72,,1,1
959,2,-16.319998779296874,0,0
960,68,,0,1
961,66,19.36999984741211,1,1
962,53,,0,1
963,79,,1,1
964,20,-28.970000915527343,0,0
965,87,,1,1
966,55,-11.249999084472655,1,0
967,73,,1,1
968,-45,5.569999694824219,0,0
969,37,,0,1
970,71,,1,1
971,75,,1,1
972,84,,0,1
973,28,5.399998626708985,0,1
974,78,31.91000015258789,1,1
975,122,,1,1
976,-8,29.100000381469727,1,0
977,-52,,1,0
978,98,,0,1
979,0,,0,1
